Brand,Name,Image URL,Fragrantica URL
Dolce&Gabbana,Dolce Blue Jasmine Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/d/g/dg_ff_dolce_blue_jasmine_75ml_primary_jpeg_rgb_150_8057971188000_2_1.jpg,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Blue-Jasmine-90660.html
Michael Kors,Sexy Amber Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/3/0310000000081.jpg,https://www.fragrantica.com/perfume/Michael-Kors/Sexy-Amber-18161.html
Versace,Eros Pour Femme Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/s/1/s1696921-main-zoom.jpg,https://www.fragrantica.com/perfume/Versace/Eros-Pour-Femme-28958.html
Salvatore Ferragamo,Signorina Libera Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/3/0310000000078_3.jpg,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Signorina-Libera-79229.html
Versace,Yellow Diamond Woman Edt,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302001277.jpg,https://www.fragrantica.com/perfume/Versace/Yellow-Diamond-13064.html
Marc Jacobs,Daisy Wild Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/3/6/3616303466060_2.jpg,https://www.fragrantica.com/perfume/Marc-Jacobs/Daisy-Wild-89906.html
Lalique,Soleil Vibrant Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/7/6/7640171199047_1_2.jpg,https://www.fragrantica.com/perfume/Lalique/Soleil-Vibrant-72448.html
Moschino,Toy 2 Bubble Gum Woman Edt,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/t/o/toy_2_bubble_gum_woman_edt_c.jpg,https://www.fragrantica.com/perfume/Moschino/Toy-2-Bubble-Gum-66098.html
Versace,Crystal Noir Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000313_1.jpg,https://www.fragrantica.com/perfume/Versace/Crystal-Noir-Parfum-92276.html
Laura Biagiotti,Forever Donna Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000512.jpg,https://www.fragrantica.com/perfume/Laura-Biagiotti/Forever-56781.html
